SNRG,RA_OBS,DEC_OBS,DESIG,HELIO,HELIO_RV,fits_name
23.61,94.604916,22.958486,LAMOST J061825.17+225730.5,True,-11.68447,spec-58456-KII061029N225952V01_sp06-033.fits
53.16,226.621018,28.983818,LAMOST J150629.04+285901.7,True,-17.95634,spec-55984-B5598407_sp01-100.fits
618.99,95.269242,22.169481,LAMOST J062104.61+221010.1,True,6.03133,spec-57760-HIP29425K201_sp06-106.fits
86.13,68.241677,40.345291,LAMOST J043258.00+402043.0,True,17.62896,spec-55938-GAC_070N40_V1_sp03-227.fits
122.14,91.643153,11.177418,LAMOST J060634.35+111038.7,True,24.78285,spec-58168-HD061556N101654V01_sp14-125.fits
116.13,69.274232,37.647852,LAMOST J043705.81+373852.2,True,-20.91291,spec-59141-HD044929N372005V01_sp14-050.fits
174.64,81.839452,34.263302,LAMOST J052721.46+341547.8,True,-5.0701,spec-56266-GAC080N32V3_sp12-004.fits
208.1,72.506401,44.313817,LAMOST J045001.53+441849.7,True,22.79188,spec-57054-HD045554N450205V01_sp05-187.fits
292.53,83.046168,35.111008,LAMOST J053211.08+350639.6,True,-25.06834,spec-56948-HD052351N362354V_sp07-180.fits
538.34,95.269242,22.169481,LAMOST J062104.61+221010.1,True,28.83748,spec-57758-HIP29425K201_sp06-106.fits
113.65,83.893793,41.745495,LAMOST J053534.51+414443.7,True,25.55675,spec-55976-GAC_084N40_V4_sp11-077.fits
68.8,87.206006,20.109874,LAMOST J054849.44+200635.5,True,28.95305,spec-57816-HD054539N204142V01_sp08-020.fits
92.32,48.685156,50.556706,LAMOST J031444.43+503324.1,True,12.47629,spec-57378-HD032738N493559V01_sp14-023.fits
8.1,321.587665,25.657656,LAMOST J212621.03+253927.5,True,21.61573,spec-56964-HD212104N235121V01_sp12-037.fits
202.41,43.159965,54.404214,LAMOST J025238.39+542415.1,True,19.74373,spec-56670-HD030004N551117V01_sp05-176.fits
195.71,95.57139,21.17939,LAMOST J062217.13+211045.8,True,-11.56415,spec-58457-KII062257N223048V01_sp05-080.fits
217.7,85.741305,33.646739,LAMOST J054257.91+333848.2,True,12.81515,spec-57035-HD054156N353752V01_sp01-090.fits
33.19,92.697327,18.694164,LAMOST J061047.35+184138.9,True,27.60372,spec-58544-KII061450N190923V01_sp03-050.fits
377.91,93.823001,22.294952,LAMOST J061517.52+221741.8,True,-27.74111,spec-56583-GAC093N22V2_sp08-020.fits
82.36,73.054083,56.118332,LAMOST J045212.97+560705.9,True,16.09086,spec-57407-HD044807N553609V02_sp09-161.fits
110.4,46.455707,56.522334,LAMOST J030549.36+563120.4,True,-15.52498,spec-59135-HD030004N551117V02_sp09-097.fits
125.96,57.042537,49.626295,LAMOST J034810.20+493734.6,True,6.98842,spec-55909-B90903_2_sp05-109.fits
50.14,73.620294,50.124273,LAMOST J045428.87+500727.3,True,6.03285,spec-57380-HD044940N493517V01_sp09-043.fits
300.45,91.390829,23.482611,LAMOST J060533.79+232857.3,True,29.00701,spec-57724-HIP29425K201_sp03-105.fits
208.64,69.231408,53.876064,LAMOST J043655.53+535233.8,True,-17.57431,spec-56590-GAC066N53V3_sp13-205.fits
41.64,72.684831,39.713943,LAMOST J045044.35+394250.1,True,26.06355,spec-55968-GAC_070N40_V4_sp06-115.fits
152.71,74.520203,46.035814,LAMOST J045804.84+460208.9,True,22.02269,spec-57054-HD045554N450205V01_sp09-104.fits
4.02,42.578999,57.077635,LAMOST J025018.95+570439.4,True,18.86068,spec-56670-HD030004N551117V01_sp16-026.fits
2.92,68.241677,40.345306,LAMOST J043258.00+402043.1,True,-7.2788,spec-58077-HD043641N411553V01_sp05-245.fits
28.27,69.333114,49.548867,LAMOST J043719.94+493255.9,True,7.4994,spec-57380-HD044940N493517V01_sp10-008.fits
77.34,62.702078,58.688973,LAMOST J041048.49+584120.3,True,-22.44928,spec-56559-HD035343N575830V01_sp13-023.fits
90.46,196.799563,19.553808,LAMOST J130711.89+193313.7,True,2.65279,spec-56021-VB3_197N18_V1_sp15-250.fits
0.83,93.243779,14.929729,LAMOST J061258.50+145547.0,True,5.22479,spec-56661-GAC092N13V3_sp09-090.fits
117.98,101.44559,12.761094,LAMOST J064546.94+124539.9,True,15.97117,spec-55961-GAC_100N13_V2_sp08-170.fits
175.75,343.764637,56.527096,LAMOST J225503.51+563137.5,True,6.86411,spec-56967-HD224251N544526V01_sp12-177.fits
229.69,102.504608,20.152502,LAMOST J065001.10+200909.0,True,17.34977,spec-57060-HD064747N214129V01_sp07-035.fits
147.05,40.96529,56.992669,LAMOST J024351.66+565933.6,True,-20.22538,spec-59111-HD023050N553254V01_sp12-114.fits
600.31,93.009069,21.288215,LAMOST J061202.17+211717.5,True,29.39167,spec-57728-HIP29425K201_sp01-087.fits
140.76,86.698962,-5.957452,LAMOST J054647.75-055726.8,True,-0.87131,spec-57738-HD054602S041606V01_sp01-142.fits
145.15,5.740505,39.651045,LAMOST J002257.72+393903.7,True,21.76382,spec-56641-HD002951N381926V01_sp16-184.fits
169.64,103.493319,1.273361,LAMOST J065358.39+011624.0,True,-2.77575,spec-58848-HD070013N000500V02_sp16-084.fits
86.09,87.622057,26.282319,LAMOST J055029.29+261656.3,True,28.90815,spec-57451-HD054900N243403V01_sp11-074.fits
129.06,338.436733,56.576576,LAMOST J223344.81+563435.6,True,7.48184,spec-56967-HD224251N544526V01_sp16-052.fits
125.89,347.917285,57.259554,LAMOST J231140.14+571534.3,True,12.76027,spec-56994-HD230130N570619V01_sp09-241.fits
341.19,325.933829,43.395192,LAMOST J214344.11+432342.6,True,10.59417,spec-56949-HD213239N421743V01_sp12-211.fits
249.36,304.895102,37.157314,LAMOST J201934.82+370926.3,True,9.00244,spec-56916-HD202734N382625V01_sp02-192.fits
91.99,107.556833,4.106517,LAMOST J071013.64+040623.4,True,-26.17307,spec-57330-HD070706N045438V01_sp08-010.fits
281.95,95.269242,22.169481,LAMOST J062104.61+221010.1,True,29.46308,spec-57828-HIP29425K201_sp06-106.fits
56.0,94.986928,23.738152,LAMOST J061956.86+234417.3,True,7.30574,spec-58493-KII062035N253629V01_sp01-169.fits
49.57,60.228838,55.227797,LAMOST J040054.92+551340.0,True,3.63641,spec-59193-HD040922N544943V02_sp03-108.fits
129.92,86.142064,54.082334,LAMOST J054434.09+540456.4,True,22.69061,spec-57437-HD053330N523910V02_sp12-112.fits
54.94,92.963588,17.262969,LAMOST J061151.26+171546.6,True,-28.66533,spec-58402-HD060953N145109V01_sp11-210.fits
191.68,72.69852,45.265186,LAMOST J045047.64+451554.6,True,22.56139,spec-57054-HD045554N450205V01_sp03-212.fits
4.88,294.292336,27.527524,LAMOST J193710.16+273139.0,True,13.83873,spec-57641-HD193711N282959V01_sp05-156.fits
39.14,45.115245,54.001417,LAMOST J030027.65+540005.1,True,-15.3019,spec-59135-HD030004N551117V02_sp05-149.fits
1.49,67.783151,56.25219,LAMOST J043107.95+561507.8,True,23.01787,spec-56700-GAC071N55V2_sp14-245.fits
201.92,47.889631,55.868421,LAMOST J031133.51+555206.3,True,-15.91957,spec-59135-HD030004N551117V02_sp13-151.fits
-9999.0,102.337143,-3.721051,LAMOST J064920.91-034315.7,True,-14.40845,spec-58456-HD064759S041506V01_sp04-213.fits
51.1,65.077165,49.273235,LAMOST J042018.51+491623.6,True,24.62696,spec-55966-GAC_061N50_V3_sp06-101.fits
185.29,103.822376,-0.561373,LAMOST J065517.37-003340.9,True,-26.72255,spec-56952-HD070013N000500V_sp03-238.fits
173.18,62.907844,51.578198,LAMOST J041137.88+513441.5,True,-14.27353,spec-57326-HD042432N505042V01_sp14-108.fits
