phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,j_m,h_m,ks_m,parallax,spclass
11.631059,11.889548,11.202678,10.763,10.643,10.592,0.4234555403445357,O
10.085966,10.208135,9.844154,9.528,9.422,9.393,0.7026803977871026,O
10.988576,11.045536,10.857991,10.66,10.613,10.552,0.6203700621155808,O
11.674248,11.93589,11.246079,10.621,10.5,10.435,0.703537471222341,B
10.840935,10.864678,10.754987,10.691,10.679,10.598,0.3990526646657224,O
10.36181,10.659211,9.888498,9.309,9.134,9.063,1.4874609894194322,A
13.931278,14.038453,13.730191,13.427,13.309,13.269,0.0025766204329452,B
10.750344,11.005592,10.325929,9.776,9.611,9.523,0.5299318470154172,B
9.508316,9.682249,9.193104,8.872,8.76,8.646,1.7054656979845926,A
13.427241,13.951288,12.756789,11.798,11.434,11.331,0.0048700530290687,A
9.931227,10.170567,9.535616,9.138,8.951,8.863,1.613832216991086,A
11.996871,12.315123,11.500131,10.893,10.745,10.663,0.5992117327593527,A
13.109737,13.289043,12.811497,12.456,12.339,12.292,0.3195347980076458,B
8.226933,8.235951,8.142368,8.107,8.191,8.15,0.5146343367343269,O
10.95356,11.252084,10.476525,9.878,9.755,9.638,0.8591062800719972,A
7.7922344,7.910433,7.514188,7.318,7.274,7.205,2.599719439895728,B
7.6058784,7.7371297,7.3433647,7.053,6.92,6.84,3.666137750596285,B
10.98945,11.044966,10.852708,10.701,10.676,10.671,0.4114930838708659,O
11.238738,11.5099745,10.781633,10.261,10.071,9.997,1.0008882128267649,A
10.859001,10.988136,10.597964,10.317,10.215,10.231,0.5465005877092824,A
10.726741,10.913549,10.388447,9.953,9.866,9.8,0.8124060432467181,B
8.44091,9.036544,7.690149,6.76,6.413,6.308,2.199712600423105,A
11.019338,11.348745,10.5045595,9.965,9.799,9.765,0.3323845027994469,O
8.68953,8.785744,8.35774,8.054,7.943,7.879,2.3725260598471416,B
9.363993,9.64163,8.907245,8.336,8.172,8.088,2.3476063534979383,A
9.339171,9.7598715,8.72575,7.923,7.658,7.536,0.2798714783686748,A
8.861192,9.004236,8.5889435,8.28,8.158,8.106,2.3151120878413773,B
7.696,7.6685534,7.6932063,7.728,7.794,7.784,0.8011114973094893,O
11.14216,11.237906,10.952714,10.67,10.641,10.622,0.4468315293664905,O
11.350705,11.673764,10.843436,10.26,10.121,10.007,0.4239898556752203,A
10.294431,10.28592,10.280418,10.308,10.357,10.323,0.4580494145795716,O
11.340025,11.545808,10.981772,10.581,10.519,10.451,0.7220950278813207,B
4.8296027,4.754672,4.962697,5.18,5.271,5.283,5.396909361774665,O
8.713364,8.7838545,8.269482,7.869,7.734,7.676,2.062715905663256,A
11.587348,11.669401,11.406165,11.245,11.228,11.208,0.2382724932309293,O
8.846828,8.748391,8.994085,9.264,9.299,9.356,0.7882257544079622,O
11.992968,11.643342,11.370955,11.166,11.104,11.108,0.4535517522396241,O
9.62382,9.757686,9.339171,9.023,8.991,8.952,0.4173815616932583,O
10.174127,10.483581,9.699986,9.195,8.956,8.859,1.6182925799434238,A
6.255798,6.1716537,6.36771,6.541,6.663,6.645,0.580796612488224,O
9.288439,9.352542,9.142896,8.953,8.942,8.876,1.5608350106116868,B
12.457834,12.666958,12.097708,11.652,11.504,11.432,0.4946528556649655,B
9.890193,10.25938,9.324741,8.595,8.406,8.293,0.5884573625581331,O
9.888246,10.163503,9.433175,8.814,8.629,8.539,0.3147818446672352,B
9.160902,9.297159,8.902206,8.631,8.529,8.501,1.3975007200045315,B
10.451628,10.47357,10.384661,10.285,10.274,10.286,0.7028557499728524,O
13.086188,13.161055,12.950808,12.839,12.765,12.814,0.1728333418857223,O
11.157223,11.2815695,10.915752,10.62,10.554,10.504,0.5433462216457006,B
11.403304,11.58046,11.084015,10.68,10.586,10.522,0.5845577879776864,B
10.670465,11.279936,9.88728,8.852,8.595,8.334,0.9532836506897316,A
6.940647,6.901383,6.974912,7.038,7.122,7.102,2.037816224636363,O
10.727971,11.097165,10.166791,9.462,9.31,9.225,0.5602146590460215,B
11.270073,11.373596,11.05368,10.81,10.828,10.808,0.3446197095245328,O
10.925012,11.012433,10.729496,10.484,10.486,10.454,0.2702330746590088,O
7.1916423,7.1773095,7.157369,7.174,7.237,7.228,0.6695142881778099,O
9.989339,10.172231,9.667452,9.319,9.184,9.124,1.3133077699540394,A
9.389966,9.579783,9.02901,8.643,8.584,8.514,0.4928946859648601,O
12.235515,12.533664,11.759607,11.222,10.98,10.86,0.6111267096082609,A
9.702612,9.808834,9.4744425,9.247,9.197,9.175,0.4344972215095798,O
8.579002,8.787152,8.201603,7.78,7.727,7.672,2.396259952515943,B
9.870468,10.069933,9.513784,9.065,8.959,8.89,1.04825080589916,B
9.699733,9.829004,9.44054,9.201,9.164,9.108,1.3622958595197294,B
